u,v,key,osmid,highway,lanes,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,name,width,junction,access
25599381,25599383,0,4265186,living_street,,walk,False,True,91.42928163537336,"LINESTRING (11.9669357 57.7035462, 11.9668689 57.7035264, 11.9668304 57.703515, 11.9658616 57.7032552, 11.9656056 57.7031885, 11.9655594 57.7031787)",,,,Södra Larmgatan,,,
25599381,25599387,0,205494326,living_street,,walk,True,False,100.59076781631062,"LINESTRING (11.9669357 57.7035462, 11.9669606 57.7035531, 11.9676325 57.7037398, 11.9681526 57.7038858, 11.9682202 57.7038945, 11.9682675 57.7038866, 11.9683955 57.7038037)",,,,Kungstorget,,,
25599383,25599381,0,4265186,living_street,,walk,False,False,91.42928163537337,"LINESTRING (11.9655594 57.7031787, 11.9656056 57.7031885, 11.9658616 57.7032552, 11.9668304 57.703515, 11.9668689 57.7035264, 11.9669357 57.7035462)",,,,Södra Larmgatan,,,
25599383,314755554,0,"[1159600568, 4265186]",living_street,,walk,False,True,67.36996371537366,"LINESTRING (11.9655594 57.7031787, 11.9646382 57.7029208, 11.9645522 57.7029006)",,,,Södra Larmgatan,,,
25599383,25599376,0,"[975039432, 4275973]",unclassified,,,False,False,79.1813604487205,"LINESTRING (11.9655594 57.7031787, 11.9658572 57.7028315, 11.9658861 57.702804, 11.9659813 57.7026934, 11.9661142 57.7025898, 11.9661904 57.7025586)",,,,"['Lilla Korsgatan', 'Grönsakstorget']",,,
25599387,320156592,0,29105913,unclassified,,,False,True,42.21505156803813,"LINESTRING (11.9683955 57.7038037, 11.9689491 57.7040417)",,,,Kungstorget,,,
25599387,1570146813,0,1226612262,unclassified,,,True,False,64.73597562188402,"LINESTRING (11.9683955 57.7038037, 11.9687607 57.7035311, 11.9688582 57.7034614, 11.9690299 57.7033304)",,,,Kungstorget,,,
25599393,9765247944,0,166511771,unclassified,,,True,False,6.1648530344817445,"LINESTRING (11.9630097 57.7056575, 11.9631117 57.7056677)",,,,Södra Hamngatan,,,
25599393,3797401431,0,4273241,unclassified,,,True,False,2.300416751032562,"LINESTRING (11.9630097 57.7056575, 11.9630069 57.705664, 11.9630035 57.7056779)",,,,Västra Hamngatan,,,
25599394,25599395,0,4265190,living_street,,,False,False,58.206013972230075,"LINESTRING (11.9648626 57.7053094, 11.9651377 57.704807)",,,,Lilla Kyrkogatan,,,
25599394,3804212601,0,28638595,living_street,,walk,False,False,212.5055360889126,"LINESTRING (11.9648626 57.7053094, 11.9658331 57.7054379, 11.9658835 57.7054458, 11.9659544 57.7054564, 11.9662339 57.7054976, 11.9663889 57.7055207, 11.9682991 57.7058376)",,,,Drottninggatan,7,,
25599394,314757077,0,"[28638595, 1356506734]",living_street,,walk,False,True,92.60563280471762,"LINESTRING (11.9648626 57.7053094, 11.964338 57.7052268, 11.9634373 57.705086, 11.9633683 57.7050726)",,,,Drottninggatan,7,,
25599395,25599394,0,4265190,living_street,,,False,True,58.206013972230075,"LINESTRING (11.9651377 57.704807, 11.9648626 57.7053094)",,,,Lilla Kyrkogatan,,,
25599395,314540323,0,28638671,living_street,,walk,True,False,216.46831272554402,"LINESTRING (11.9651377 57.704807, 11.9652469 57.7048227, 11.9660607 57.7049505, 11.9661337 57.7049612, 11.9662143 57.7049742, 11.9672844 57.7051376, 11.9675077 57.7051717, 11.9685726 57.7053337, 11.9686397 57.7053445)",,,,Kyrkogatan,7,,
25599403,7373673,0,"[29108024, 1364685357, 1364685358]",residential,,50,False,False,62.25144170055346,"LINESTRING (11.9742445 57.7067436, 11.9742151 57.7067958, 11.9739779 57.7072165, 11.9739521 57.707281)",,,,Stora Nygatan,,,
25599403,7373674,0,29108024,residential,,50,False,True,133.9334674863723,"LINESTRING (11.9742445 57.7067436, 11.9743215 57.7066129, 11.974332 57.7065484, 11.9742957 57.7065058, 11.9742218 57.7064653, 11.9729282 57.7058898)",,,,Stora Nygatan,,,
25599403,377704,0,"[29108004, 1157396158]",unclassified,,,False,True,131.22335005629526,"LINESTRING (11.9742445 57.7067436, 11.973793 57.7066752, 11.9721717 57.7064409, 11.9721143 57.7064315)",,,,Drottninggatan,,,
25653337,26022231,0,"[309560937, 1243065683, 166913363, 1243065684, 1022934301, 1022934302]",primary,2,"['60', '70']",True,False,646.006832599097,"LINESTRING (11.9430158 57.6783713, 11.9432568 57.6785475, 11.9432947 57.6785752, 11.9435985 57.6787973, 11.9441865 57.6792646, 11.9453524 57.6802125, 11.945671 57.6804587, 11.9459018 57.680637, 11.9459805 57.6806978, 11.9473968 57.6816655, 11.9487885 57.6826353, 11.9494218 57.6830598)",,,,Dag Hammarskjöldsleden,,,
25653337,310896555,0,"[1022934304, 25050989, 1022934303]",primary_link,1,50,True,False,270.883920384461,"LINESTRING (11.9430158 57.6783713, 11.9433032 57.6785227, 11.9433453 57.6785449, 11.9434319 57.6785905, 11.9438627 57.6788679, 11.9444916 57.6793084, 11.9456797 57.6801847, 11.9458244 57.6802851)",,,,Dag Hammarskjöldsleden,,,
25658722,311886629,0,"[1355350498, 658182110]",primary_link,2,50,True,False,63.347548769138925,"LINESTRING (11.9516211 57.6849027, 11.9518442 57.6850213, 11.9520846 57.6851552, 11.9523068 57.6853355)",,,,Dag Hammarskjöldsleden,,,
25658722,316821206,0,"[1355350499, 28501358]",primary,2,50,True,False,48.050035723115286,"LINESTRING (11.9516211 57.6849027, 11.9517758 57.6850464, 11.9519399 57.6851965, 11.9520195 57.6852786)",,,,Dag Hammarskjöldsleden,,,
25658728,321376250,0,"[1355290884, 620132342, 28661415]",primary,"['3', '4']",50,True,False,173.53370382153759,"LINESTRING (11.9529098 57.6874634, 11.9529078 57.6873012, 11.9528948 57.6869784, 11.9528212 57.6866598, 11.9527797 57.6865196, 11.9526382 57.6863108, 11.9525031 57.6861328, 11.9523268 57.6859582)",,,,Dag Hammarskjöldsleden,,,
25658734,25688165,0,"[39405672, 118462286, 1022934291, 1022934292, 620132341, 166913365, 1022934298]",primary,2,60,True,False,616.4916138974929,"LINESTRING (11.9431456 57.6786654, 11.942761 57.6784109, 11.9421911 57.6780515, 11.9420543 57.6779657, 11.9419148 57.6778807, 11.94156 57.6776605, 11.9414514 57.6775849, 11.9410899 57.6772946, 11.9407862 57.6770281, 11.9406387 57.6768703, 11.940522 57.6767405, 11.94029 57.6764372, 11.9400365 57.6760256, 11.9399668 57.6758764, 11.9398555 57.6756054, 11.9397364 57.6752526, 11.9396701 57.6750196, 11.939474 57.6744779, 11.9392751 57.673859, 11.9392661 57.6738311, 11.939216 57.6736751)",,,,Dag Hammarskjöldsleden,,,
25688160,25688833,0,"[118470600, 28540460, 28393810, 1149832914, 4303190, 166913403, 28540316, 28540319]","['primary_link', 'secondary']","['2', '3']","['50', '70']",True,False,485.4110942387133,"LINESTRING (11.93694693779138 57.67302266475027, 11.9366416 57.6731468, 11.9363347 57.6732919, 11.9362486 57.6733425, 11.9361073 57.6734318, 11.9360552 57.6734647, 11.9359169 57.6735773)",,,yes,Högsboleden,,,
25688165,25688175,0,"[1355345370, 28621516, 1195949981, 1195949982]",primary,2,80,True,False,635.1249955313373,"LINESTRING (11.939216 57.6736751, 11.939030461003748 57.67302266475027)",,,,Dag Hammarskjöldsleden,,,
25688165,25688169,0,"[28540416, 28540361, 1243065686, 1243065687, 1355345368, 1355345369]",primary_link,1,80,True,False,467.9467594339378,"LINESTRING (11.939216 57.6736751, 11.938833404673977 57.67302266475027)",,,,Dag Hammarskjöldsleden,,,
25688833,314640226,0,28483811,unclassified,,50,False,False,12.404260327192809,"LINESTRING (11.9359169 57.6735773, 11.9357436 57.6735152)",,,,Marklandsgatan,,,
25688833,312530980,0,"[118485801, 28447047]",unclassified,,50,False,True,25.14104176535239,"LINESTRING (11.9359169 57.6735773, 11.9360794 57.6736317, 11.9361372 57.6736528, 11.9362203 57.6736944, 11.9362515 57.6737134)",,,,Marklandsplatsen,,,
25688833,1073100190,0,"[821250155, 1195949996, 1195949995, 26676163]",secondary,2,50,True,False,281.99562857607356,"LINESTRING (11.9359169 57.6735773, 11.9357906 57.6736901, 11.9355324 57.6739368, 11.9351748 57.6743147, 11.9350283 57.6744757, 11.9349325 57.6746275, 11.934839 57.6747684, 11.9347265 57.6749518, 11.9346118 57.6751308, 11.9344905 57.6753293, 11.9344138 57.6754654, 11.9343405 57.675585, 11.9342534 57.6757785, 11.9341913 57.6759263)",,,,Högsboleden,,,
25688838,8863421801,0,4272296,secondary,1,50,True,False,5.19003815400861,"LINESTRING (11.9336147 57.6771181, 11.9335889 57.6771109, 11.9335654 57.6771017, 11.9335445 57.6770909)",,,,Högsboleden,,roundabout,
25688839,2452884961,0,4272296,secondary,1,50,True,False,18.261620627283616,"LINESTRING (11.9336291 57.6769145, 11.9336537 57.6769108, 11.933679 57.6769087, 11.9337046 57.6769083, 11.9337301 57.6769097, 11.9337551 57.6769127, 11.9337791 57.6769174, 11.9338019 57.6769236, 11.9338231 57.6769313, 11.9338423 57.6769404, 11.9338592 57.6769506, 11.9338736 57.6769619, 11.9338853 57.6769741)",,,,Högsboleden,,roundabout,
25688840,663949200,0,72112903,secondary,1,50,True,False,82.21196844789274,"LINESTRING (11.9313267 57.6765111, 11.930062 57.6762122)",,,,Högsboleden,,,
25688840,27032642,0,"[1447489944, 1447489945, 29099618]",secondary_link,,50,True,False,141.7957546564229,"LINESTRING (11.9313267 57.6765111, 11.9310206 57.6764691, 11.9308108 57.676448, 11.9305863 57.6764278, 11.9292547 57.6763856, 11.9291468 57.6763804, 11.9291072 57.676376, 11.9290519 57.6763683, 11.9289651 57.676361)",,,,Högsboleden,,,
25688931,30483976,0,881621106,secondary,1,50,True,False,21.168798007214246,"LINESTRING (11.9606713 57.697761, 11.9606123 57.6977032, 11.9606051 57.697673, 11.9605969 57.6976135, 11.9606058 57.6975794)",,,,Sprängkullsgatan,,,
25688932,30453193,0,4767569,residential,,50,True,False,65.23220692391031,"LINESTRING (11.9608101 57.6989126, 11.9607261 57.6989172, 11.9597559 57.6989514, 11.9597149 57.6989528)",,,,Haga Östergata,,,
25688932,25688931,0,295995804,residential,1,50,True,False,128.36249788665577,"LINESTRING (11.9608101 57.6989126, 11.9607226 57.6982922, 11.960688 57.6978589, 11.9606846 57.6978023, 11.9606713 57.697761)",,,,Sprängkullsgatan,,,
25705073,25733264,0,4273081,unclassified,,30,False,False,51.96926311655493,"LINESTRING (11.9612804 57.7035426, 11.9613186 57.7034454, 11.9613393 57.7034114, 11.9614141 57.7032688, 11.9615042 57.703091)",,,,Kaserntorget,10,,
25705073,25705098,0,4273088,unclassified,,30,False,True,181.03777608460217,"LINESTRING (11.9612804 57.7035426, 11.9612508 57.7036453, 11.9611609 57.7041858, 11.9610651 57.704697, 11.960958 57.7051613)",,,,Ekelundsgatan,,,
25705073,1707906475,0,1356506744,residential,,50,False,True,86.6621472583723,"LINESTRING (11.9612804 57.7035426, 11.9611957 57.7035279, 11.9611131 57.7035099, 11.9607533 57.7034298, 11.9599403 57.7032355)",,,,Kungsgatan,,,
25705098,25705073,0,4273088,unclassified,,30,False,False,181.03777608460217,"LINESTRING (11.960958 57.7051613, 11.9610651 57.704697, 11.9611609 57.7041858, 11.9612508 57.7036453, 11.9612804 57.7035426)",,,,Ekelundsgatan,,,
25705098,25733642,0,4276057,unclassified,,30,False,False,70.83697502854517,"LINESTRING (11.960958 57.7051613, 11.9605848 57.705224, 11.9601841 57.7052268, 11.9600036 57.7052113, 11.9598344 57.7051382)",,,,Otterhällegatan,,,
25705098,25733639,0,1364685348,unclassified,,30,False,True,37.05863918155577,"LINESTRING (11.960958 57.7051613, 11.9610047 57.7051901, 11.9610657 57.7052106, 11.9614057 57.705272, 11.961458 57.7052876, 11.9614948 57.705314)",,,,Otterhällegatan,,,
25705777,25705778,0,4780159,living_street,,walk,False,True,39.37985097069114,"LINESTRING (11.962097 57.7043383, 11.9614602 57.70424)",,,,Kyrkogatan,,,
