num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed
1000,50,1,1000,1000,1.0,101.05,97.0,56.56023833542925,12.552094975429538,12.574428319986446,0.6107399070987143
1000,50,2,1000,1000,1.0,97.924,95.0,50.65767882981241,12.554016503569722,12.590471771426493,0.6288979044407306
1000,100,0,1000,1000,1.0,107.047,103.0,57.62333937078135,12.526387587700723,12.537644437313006,0.6367813938990416
1000,100,1,1000,1000,1.0,99.762,96.0,54.783835431855486,12.535655470566022,12.567483645411027,0.5994405092769728
1000,100,2,1000,1000,1.0,101.056,98.5,53.236500532895555,12.555208588925186,12.569549627709865,0.6171142430963086
1000,200,0,1000,1000,1.0,101.722,100.0,52.44980169359745,12.487718636854078,12.51329887356923,0.644869477558443
1000,200,1,1000,1000,1.0,101.864,98.0,56.58499240404089,12.55285184751375,12.574365423685894,0.6074217580797645
1000,200,2,1000,1000,1.0,100.104,99.0,52.10184052205628,12.581140166986089,12.612979221183545,0.6213704760496229
1000,500,0,1000,1000,1.0,98.822,95.0,51.09319750055609,12.513902439318114,12.556995780187894,0.6585816270936997
1000,500,1,1000,1000,1.0,98.242,93.0,54.53290083310508,12.556087969704915,12.57091000505337,0.5909170928860112
1000,500,2,1000,1000,1.0,97.065,94.0,50.533458276724,12.570456852399055,12.611343908573723,0.640341141474055
